stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\EDUAR\source\repos\JogoAllegro\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.08584] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08591] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08596] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08605] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08612] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08619] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08625] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08631] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08637] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08643] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08649] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08658] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08667] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08675] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08682] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08689] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08696] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08704] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08712] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08728] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08741] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08750] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08768] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08777] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08784] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08793] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08809] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
